doi,status_code,final_url,domain,resolved,redirect_count,redirect_chain,error
10.1073/pnas.2519819123,403,https://pnas.org/doi/10.1073/pnas.2519819123,pnas.org,True,1,https://doi.org/10.1073/pnas.2519819123 -> https://pnas.org/doi/10.1073/pnas.2519819123,
10.1002/smll.202509742,403,https://onlinelibrary.wiley.com/doi/10.1002/smll.202509742,onlinelibrary.wiley.com,True,1,https://doi.org/10.1002/smll.202509742 -> https://onlinelibrary.wiley.com/doi/10.1002/smll.202509742,
10.2147/IJN.S577606,200,https://www.dovepress.com/intraperitoneal-co-delivery-of-claudin18241bb-and-epcamcd3-bispecific--peer-reviewed-fulltext-article-IJN,dovepress.com,True,1,https://doi.org/10.2147/IJN.S577606 -> https://www.dovepress.com/intraperitoneal-co-delivery-of-claudin18241bb-and-epcamcd3-bispecific--peer-reviewed-fulltext-article-IJN,
10.1002/advs.202521507,403,https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202521507,advanced.onlinelibrary.wiley.com,True,1,https://doi.org/10.1002/advs.202521507 -> https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202521507,
10.1002/smll.202511946,403,https://onlinelibrary.wiley.com/doi/10.1002/smll.202511946,onlinelibrary.wiley.com,True,1,https://doi.org/10.1002/smll.202511946 -> https://onlinelibrary.wiley.com/doi/10.1002/smll.202511946,
10.1021/acs.langmuir.5c06286,403,https://pubs.acs.org/doi/10.1021/acs.langmuir.5c06286,pubs.acs.org,True,1,https://doi.org/10.1021/acs.langmuir.5c06286 -> https://pubs.acs.org/doi/10.1021/acs.langmuir.5c06286,
10.1177/10430342251412392,200,https://sage.cnpereading.com/doi/10.1177/10430342251412392,sage.cnpereading.com,True,1,https://doi.org/10.1177/10430342251412392 -> https://sage.cnpereading.com/doi/10.1177/10430342251412392,
10.1021/jacs.6c00080,403,https://pubs.acs.org/doi/10.1021/jacs.6c00080,pubs.acs.org,True,1,https://doi.org/10.1021/jacs.6c00080 -> https://pubs.acs.org/doi/10.1021/jacs.6c00080,
10.64898/2026.03.02.708638,403,https://www.biorxiv.org/lookup/doi/10.64898/2026.03.02.708638,biorxiv.org,True,1,https://doi.org/10.64898/2026.03.02.708638 -> https://www.biorxiv.org/lookup/doi/10.64898/2026.03.02.708638,
10.1016/j.jconrel.2026.114825,200,https://linkinghub.elsevier.com/retrieve/pii/S0168365926002270,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.jconrel.2026.114825 -> https://linkinghub.elsevier.com/retrieve/pii/S0168365926002270,
10.1016/j.jconrel.2026.114870,200,https://linkinghub.elsevier.com/retrieve/pii/S0168365926002725,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.jconrel.2026.114870 -> https://linkinghub.elsevier.com/retrieve/pii/S0168365926002725,
10.1021/acs.nanolett.5c06525,403,https://pubs.acs.org/doi/10.1021/acs.nanolett.5c06525,pubs.acs.org,True,1,https://doi.org/10.1021/acs.nanolett.5c06525 -> https://pubs.acs.org/doi/10.1021/acs.nanolett.5c06525,
10.1016/j.vaccine.2026.128515,200,https://linkinghub.elsevier.com/retrieve/pii/S0264410X26003233,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.vaccine.2026.128515 -> https://linkinghub.elsevier.com/retrieve/pii/S0264410X26003233,
10.1016/j.biomaterials.2026.124093,200,https://linkinghub.elsevier.com/retrieve/pii/S0142961226001171,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.biomaterials.2026.124093 -> https://linkinghub.elsevier.com/retrieve/pii/S0142961226001171,
10.1016/j.biomaterials.2026.124145,200,https://linkinghub.elsevier.com/retrieve/pii/S0142961226001699,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.biomaterials.2026.124145 -> https://linkinghub.elsevier.com/retrieve/pii/S0142961226001699,
10.1021/acsnano.5c16693,403,https://pubs.acs.org/doi/10.1021/acsnano.5c16693,pubs.acs.org,True,1,https://doi.org/10.1021/acsnano.5c16693 -> https://pubs.acs.org/doi/10.1021/acsnano.5c16693,
10.3390/membranes16030089,200,https://www.mdpi.com/2077-0375/16/3/89,mdpi.com,True,1,https://doi.org/10.3390/membranes16030089 -> https://www.mdpi.com/2077-0375/16/3/89,
10.1093/bib/bbag092,403,https://academic.oup.com/bib/article/doi/10.1093/bib/bbag092/8503315,academic.oup.com,True,1,https://doi.org/10.1093/bib/bbag092 -> https://academic.oup.com/bib/article/doi/10.1093/bib/bbag092/8503315,
10.1021/jacs.5c20438,403,https://pubs.acs.org/doi/10.1021/jacs.5c20438,pubs.acs.org,True,1,https://doi.org/10.1021/jacs.5c20438 -> https://pubs.acs.org/doi/10.1021/jacs.5c20438,
10.1016/j.jconrel.2026.114784,200,https://linkinghub.elsevier.com/retrieve/pii/S0168365926001860,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.jconrel.2026.114784 -> https://linkinghub.elsevier.com/retrieve/pii/S0168365926001860,
10.1021/jacs.5c16886,403,https://pubs.acs.org/doi/10.1021/jacs.5c16886,pubs.acs.org,True,1,https://doi.org/10.1021/jacs.5c16886 -> https://pubs.acs.org/doi/10.1021/jacs.5c16886,
10.1021/acs.jmedchem.6c00448,403,https://pubs.acs.org/doi/10.1021/acs.jmedchem.6c00448,pubs.acs.org,True,1,https://doi.org/10.1021/acs.jmedchem.6c00448 -> https://pubs.acs.org/doi/10.1021/acs.jmedchem.6c00448,
10.1002/adma.202515130,403,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202515130,advanced.onlinelibrary.wiley.com,True,1,https://doi.org/10.1002/adma.202515130 -> https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202515130,
10.1080/10717544.2026.2637266,403,https://www.tandfonline.com/doi/full/10.1080/10717544.2026.2637266,tandfonline.com,True,1,https://doi.org/10.1080/10717544.2026.2637266 -> https://www.tandfonline.com/doi/full/10.1080/10717544.2026.2637266,
10.1039/d6tb00052e,200,https://pubs.rsc.org/en/content/articlelanding/2026/tb/d6tb00052e,pubs.rsc.org,True,1,https://doi.org/10.1039/d6tb00052e -> https://pubs.rsc.org/en/content/articlelanding/2026/tb/d6tb00052e,
10.1016/j.ejpb.2026.115034,200,https://linkinghub.elsevier.com/retrieve/pii/S093964112600055X,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.ejpb.2026.115034 -> https://linkinghub.elsevier.com/retrieve/pii/S093964112600055X,
10.1038/s41565-025-02102-z,200,https://www.nature.com/articles/s41565-025-02102-z,nature.com,True,1,https://doi.org/10.1038/s41565-025-02102-z -> https://www.nature.com/articles/s41565-025-02102-z,
10.1016/j.cell.2026.01.012,200,https://linkinghub.elsevier.com/retrieve/pii/S0092867426000991,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.cell.2026.01.012 -> https://linkinghub.elsevier.com/retrieve/pii/S0092867426000991,
